rep,var,nlvl,ph_30,ph_45,ph_60,ph_75,ph_90,TL_30,TL_45,TL_60,TL_75,TL_90,FLW_30,FLW_45,FLW_60,FLW_75,FLW_90,DLW_30,DLW_45,DLW_60,DLW_75,DLW_90,FSW_30,FSW_45,FSW_60,FSW_75,FSW_90,DSW_30,DSW_45,DSW_60,DSW_75,DSW_90,FSW_75,FSW_90,DSW_75,DSW_90,LAI_30 ,LAI_45,LAI_60,LAI_75,LAI_90,FET_row,FPh,biomass,g_yield,moisture,thou_gw,test_wt,DoE,DoB,DoH,DoF,DoPM,flag_senc,flag_LA,Spike_len,grain_spike,spikelet_spike,floret_spike,sterility
3,2,2,24.6,73.4,73.4,78.9,88.5,55,58,64,53,46,6.48,24.21,26.06,18.47,6.32,1.09,4.7,6.96,5.9,2.61,3.27,22.25,59.84,93.81,84.19,0.42,3.46,11.25,27.09,33.43,34.72,78.61,11.64,31.21,295.65,1186.05,1532.33,1142.92,401.07,120,88.5,6.87,2.69,15,40.78,357.33,9,69,76,80,107,101,43.338,11.74,62.6,18.4,89.6,3
3,3,2,24.3,66.5,66.5,74.8,86.3,46,51,57,52,46,4.51,20.76,26.5,16.99,3.4,0.74,4.03,7.07,5.43,1.41,2.66,21.19,67.03,83.7,45.58,0.37,3.29,12.6,24.17,18.1,26.07,35.99,8.74,14.29,205.77,1017.03,1558.2,1051.34,215.76,194,90.3,5.82,2.134,10.8,40.13,381.0066667,9,72,74,82,107,101,28.35,9.26,55.4,19.6,85.8,7
3,4,2,28.2,78.3,78.3,78.3,95,58,60,64,58,56,12.21,17.17,17.92,15.63,1.88,1.56,3.33,4.78,4.99,0.78,6.13,15.05,43.91,80.08,32.8,0.66,2.34,8.25,23.13,13.02,23.83,26.31,7.99,10.45,557.08,841.16,1053.7,967.18,119.3,144,95,5.33,2.362,9.5,35.32,395.83,9,69,76,80,107,104,46.88,10.82,37.4,17.2,62.2,7
3,1,3,26.1,66.6,66.6,85.6,92,69,76,77,69,66,9.3,15.13,37.67,23.27,9.66,1.47,2.93,10.06,7.43,4,4.46,12.19,77.16,90.18,87.51,0.66,1.9,14.5,26.05,34.74,29.52,79.67,9.9,31.63,424.31,741.22,2215,1439.95,613.02,140,92,6.61,2.652,13.1,35.83,370.48,9,69,76,82,107,109,35.896,10.52,55.8,19.4,88.8,1
3,2,3,28.1,77.6,77.6,85.4,88.4,61,70,72,64,56,6,17.92,36.1,29.04,3.75,1.06,3.48,9.64,9.27,1.55,3.22,14.4,77.66,111.9,50.27,0.38,2.24,14.6,32.32,19.96,35.38,33.17,11.86,13.17,273.75,877.9,2122.68,1797,237.98,190,86.4,7.6,2.794,12.3,38.56,358.62,9,69,74,82,107,104,43.508,11.3,58.6,18.2,81.8,3
3,3,3,26.1,73.2,73.2,84.6,94.1,64,69,70,57,56,3.75,13.62,14.13,14.7,5.32,0.66,2.64,3.77,4.69,2.2,1.92,13.33,43.22,78.6,79.92,0.28,2.07,8.12,22.7,31.73,24.92,65.1,8.35,25.85,171.09,667.24,830.84,909.64,337.61,150,94.1,6.54,2.554,12.5,35.6,380.1366667,9,69,76,84,107,107,44.18,11.1,46.8,17.2,75,11
3,4,3,28.7,83.5,83.5,89.5,90.3,64,73,73,64,62,11.12,24.29,41.54,21.81,5.92,1.76,4.71,11.09,6.96,2.45,5.44,17.03,97.44,95.28,62.6,0.69,2.65,18.31,27.52,24.85,31.43,48.17,10.54,19.13,507.35,1189.97,2442.55,1349.6,375.68,165,100.3,6.5,2.806,9.5,45.46,388.9733333,9,69,76,84,107,109,74.846,13.04,37.2,15.2,64.6,5
3,1,4,28,68.2,68.2,90.2,95.3,75,78,72,66,65,6.29,26.97,45.07,17,7.26,1.19,5.23,12.03,5.43,3,3.04,16.67,76.63,68.46,74.38,0.43,2.59,14.4,19.77,29.53,21.68,55.49,7.27,22.03,286.98,1321.26,2650.12,1051.96,460.72,113,95.3,8.36,3.104,14.8,37.01,348.8133333,9,69,76,80,107,107,47.03,10.98,61.8,19,90,2
3,2,4,24.6,67.3,67.3,83.2,88.8,65,68,73,70,66,7.48,20.92,33.83,24.91,10.37,1.13,4.06,9.03,7.95,4.29,3.87,24.12,72.22,107.18,91.95,0.51,3.75,13.57,30.96,36.51,34.85,78.44,11.68,31.14,341.28,1024.87,1989.2,1541.43,658.08,143,83.8,7.668,2.88,13.5,37.98,359.0633333,9,69,74,82,107,104,39.96,11.44,61.8,19,89.2,4
3,3,4,25.1,68.6,68.6,88.8,88.9,64,73,71,68,66,9.23,26.85,27.93,23.88,5.1,1.98,5.21,7.46,7.63,2.11,9.11,31.13,79.53,122.76,69.08,0.78,4.84,14.95,35.46,27.43,42.53,65.01,14.26,25.81,694.87,1315.38,1642.28,1477.69,323.65,187,88.9,7.2,3.212,13.4,41.56,374.84,9,72,76,82,107,109,33.29,10.5,53.6,19.2,86,10
